2195410 total number of matches in the dataset

# Aatrox
                  win%   matches
    Anivia       49.62%    393
    Nunu         49.62%    784
    Maokai       49.57%   1057
    Qiyana       49.53%    749
    Renata       49.47%    285
    Mordekaiser  49.38%   2663
    Jax          49.33%   2909
    Akali        49.29%   1698
    LeeSin       49.23%   5507
    Aphelios     49.02%    665
    Kaisa        49.00%   2592
    Ornn         48.98%   1033
    Ahri         48.91%   1691
    Graves       48.90%   3497
    MissFortune  48.85%   3171
    Xerath       48.82%   2294
    Yone         48.79%   5505
    Caitlyn      48.66%   3925
    Gnar         48.64%   1063
    Veigar       48.58%   3036
    Senna        48.52%   3098
    Alistar      48.45%   1131
    Blitzcrank   48.44%   1540
    Ekko         48.23%   1528
    Twitch       48.16%    953
    Cassiopeia   48.16%    353
    Ashe         48.16%   2577
    Aatrox       48.14%   3230
    Swain        48.14%   1504
    Udyr         48.13%    854
    Lulu         48.10%   1395
    Sejuani      47.93%   1062
    Gwen         47.92%   1131
    Sylas        47.87%   2555
    Elise        47.82%    665
    Neeko        47.77%   1009
    Zed          47.75%   4008
    Tristana     47.61%   1943
    Hecarim      47.56%   1108
    Zac          47.56%   1106
    Ivern        47.52%    282
    Fiddlesticks 47.47%    868
    Varus        47.44%   1543
    Sion         47.32%   1775
    Shen         47.25%   1670
    Orianna      47.08%    599
    Olaf         47.07%    614
    Evelynn      47.03%    640
    Rengar       46.80%    844
    TwistedFate  46.73%    796
    Ezreal       46.65%   3775
    Annie        46.62%    459
    Kennen       46.60%    530
    Rumble       46.56%    509
    Mel          46.24%   2102
    Singed       46.23%    584
    Lucian       46.19%   1851
    Yuumi        46.00%   1063
    Skarner      45.98%    535
    Samira       45.78%    758
    Xayah        45.52%    725
    Yunara       45.50%    822
    KSante       45.33%   1145
    Zeri         45.27%    528
    Taliyah      44.86%    350
    Gragas       44.56%   1093
    Nidalee      43.94%    965
    Kalista      43.14%    306
    RekSai       42.32%    293
    Karthus      40.33%    424


# Zilean
                  win%   matches
    Rell         60.74%    135
    Renata       58.14%     43
    KogMaw       56.76%    518
    Nami         56.10%    287
    Rammus       55.88%    621
    Yorick       55.16%   1501
    Swain        55.15%    680
    Heimerdinger 55.01%    569
    Leona        54.90%    255
    JarvanIV     54.77%   1415
    Naafiri      54.65%   1184
    Singed       54.58%    513
    Ivern        54.55%    275
    Udyr         54.20%    727
    Lulu         54.15%    277
    Quinn        54.11%    584
    Annie        53.76%    625
    RekSai       53.68%    231
    MonkeyKing   53.55%   1225
    Nasus        53.50%   1301
    Diana        53.43%   2302
    Kled         53.28%    366
    Warwick      53.26%   2298
    Lux          53.22%   1505
    Amumu        53.20%   1126
    Renekton     53.18%   1352
    Karma        52.99%    351
    Vayne        52.90%   2204
    Urgot        52.74%    840
    Thresh       52.71%    332
    Shen         52.66%   1126
    Nocturne     52.58%   2168
    Kaisa        52.44%   3438
    XinZhao      52.42%   1383
    Camille      52.40%    626
    MasterYi     52.34%   1924
    Samira       52.28%    832
    Malzahar     52.26%   1705
    Ashe         52.23%   2447
    Velkoz       52.11%    403
    Xerath       52.10%    977
    Aurora       52.10%    906
    Vi           52.05%   1387
    Vladimir     52.04%   1301
    Alistar      51.98%    202
    Elise        51.98%    531
    Irelia       51.97%   1499
    Olaf         51.97%    483
    Darius       51.96%   2396
    Cassiopeia   51.96%    460
    Ahri         51.86%   2019
    Braum        51.83%    164
    Rengar       51.82%    577
    Briar        51.82%   1073
    Sett         51.81%   2187
    Zyra         51.78%    365
    Kayn         51.78%   2275
    Kayle        51.72%   1073
    Neeko        51.68%    327
    Illaoi       51.63%    767
    Tryndamere   51.62%    924
    Poppy        51.62%    556
    Viktor       51.60%   1533
    Katarina     51.59%   1223
    Janna        51.58%     95
    Riven        51.53%    945
    Gangplank    51.53%    817
    Pantheon     51.49%   1942
    Viego        51.48%   2805
    Trundle      51.43%   1569
    Volibear     51.34%   2121
    Sivir        51.28%   1679
    Seraphine    51.27%    275
    Mordekaiser  51.26%   1859
    Khazix       51.26%   1424
    Veigar       51.26%   1313
    Yasuo        51.23%   2811
    Ziggs        51.23%    652
    Akali        51.22%   1878
    Maokai       51.16%    387
    Brand        51.13%    573
    Jhin         51.10%   5485
    DrMundo      51.08%   1760
    Teemo        51.07%   1592
    Evelynn      51.05%    621
    Caitlyn      51.04%   4042
    Nautilus     51.00%    349
    Fizz         50.92%    925
    Senna        50.92%   1092
    Akshan       50.86%    525
    Varus        50.85%   1593
    Anivia       50.84%    474
    Zilean       50.84%  48155
    Galio        50.82%   1157
    Malphite     50.79%   1585
    Kindred      50.71%    775
    Ekko         50.65%   1704
    Ambessa      50.57%   1044
    Zac          50.55%    906
    Rumble       50.51%    487
    Yuumi        50.48%    210
    Azir         50.47%    638
    MissFortune  50.47%   3216
    Jax          50.44%   1820
    Draven       50.42%    825
    Kassadin     50.39%    385
    Lillia       50.35%   1013
    Vex          50.34%    735
    Ryze         50.31%    817
    Zeri         50.23%    868
    Garen        50.18%   1913
    TahmKench    50.17%    578
    Twitch       50.14%   1089
    Aatrox       50.10%   2050
    AurelionSol  50.09%    577
    Aphelios     49.96%   1229
    Morgana      49.88%    429
    Tristana     49.83%   1730
    Syndra       49.76%   1037
    Ezreal       49.75%   3938
    Shyvana      49.73%    563
    Smolder      49.73%   2608
    Yone         49.69%   2914
    Sion         49.65%   1279
    Nilah        49.65%    568
    Sylas        49.63%   2406
    Shaco        49.46%   1565
    Blitzcrank   49.44%    178
    Gwen         49.38%   1138
    Fiora        49.38%    802
    Qiyana       49.15%    529
    TwistedFate  49.12%   1136
    Corki        49.12%    680
    Kennen       49.12%    509
    Jinx         49.11%   4054
    Gnar         49.11%    729
    Chogath      49.01%   1259
    Hwei         48.91%   1059
    Lissandra    48.83%    639
    Kalista      48.82%    254
    Mel          48.82%   1604
    Hecarim      48.72%   1135
    Zoe          48.70%    579
    Jayce        48.63%   1166
    Sejuani      48.62%    687
    Leblanc      48.61%   1119
    Fiddlesticks 48.46%    681
    Lucian       48.32%   1819
    Sona         48.28%    116
    Talon        48.19%   1079
    Orianna      47.96%    905
    Xayah        47.76%    938
    Nunu         47.76%    781
    Zed          47.75%   2561
    LeeSin       47.52%   3148
    Ornn         47.20%    803
    Pyke         47.09%    223
    Graves       47.02%   1593
    Nidalee      46.54%    664
    Bard         46.51%     86
    Yunara       46.51%    774
    Gragas       46.20%   1013
    Taliyah      45.61%    478
    Skarner      44.79%    384
    Karthus      44.59%    444
    KSante       44.47%    805
    Rakan        44.19%    129
    Belveth      43.97%    423
    Milio        43.83%    162
    Taric        42.11%     57
    Soraka       41.30%    138


# Zoe
                  win%   matches
    Nilah        54.36%    653
    Kassadin     54.26%    129
    Sona         53.68%    801
    Nami         53.07%   2414
    Annie        52.94%    323
    Nasus        52.92%   2003
    Graves       52.85%   2808
    Milio        52.57%   1478
    Velkoz       52.49%    945
    Trundle      52.33%   2387
    Sivir        52.32%   2045
    Kennen       51.98%    606
    Yorick       51.96%   2165
    KogMaw       51.89%    634
    Urgot        51.87%   1095
    Renata       51.87%    374
    DrMundo      51.87%   2518
    Braum        51.79%   1645
    Sion         51.66%   1928
    Zeri         51.60%   1062
    Sett         51.57%   3399
    Aurora       51.56%    448
    TwistedFate  51.55%    483
    Singed       51.42%    636
    Soraka       51.39%   1189
    Qiyana       51.30%    347
    Warwick      51.25%   3247
    Ambessa      51.22%   1556
    Lulu         51.22%   2833
    Kayle        51.18%   1233
    Diana        51.16%   1941
    Hwei         51.09%    595
    Kalista      50.98%    510
    Draven       50.95%   1211
    Xerath       50.93%   1559
    Poppy        50.89%   1511
    Chogath      50.88%   1598
    Belveth      50.75%    666
    Kled         50.71%    564
    Rell         50.63%   1106
    Senna        50.63%   2846
    Briar        50.52%   1550
    Olaf         50.45%    662
    Rammus       50.44%    801
    Illaoi       50.42%   1200
    Khazix       50.37%   2269
    Viego        50.37%   4566
    Vex          50.37%    270
    Kayn         50.37%   3530
    Galio        50.35%    711
    Renekton     50.34%   2080
    Teemo        50.34%   2378
    Bard         50.32%    777
    Kindred      50.32%   1107
    Amumu        50.28%   1597
    Jinx         50.27%   5518
    JarvanIV     50.24%   2114
    Heimerdinger 50.21%    725
    AurelionSol  50.19%    265
    Maokai       50.14%   1079
    Ekko         50.12%   1656
    MonkeyKing   50.06%   1790
    Nunu         50.05%    967
    Talon        50.00%   1140
    Yuumi        50.00%   1702
    Smolder      49.97%   3174
    Naafiri      49.90%   1517
    Thresh       49.89%   3267
    Janna        49.87%    758
    Taric        49.87%    373
    Fiddlesticks 49.86%   1057
    Ahri         49.86%    690
    Mordekaiser  49.83%   2647
    Zyra         49.82%   1373
    Volibear     49.78%   2967
    Malzahar     49.75%    607
    Ziggs        49.73%    563
    Aphelios     49.73%   1639
    Shyvana      49.70%    656
    Xayah        49.69%   1634
    Akali        49.68%    942
    Camille      49.68%   1077
    Tryndamere   49.59%   1226
    Malphite     49.59%   2448
    XinZhao      49.59%   2202
    Tristana     49.58%   2749
    TahmKench    49.57%   1517
    Alistar      49.56%   1370
    Nocturne     49.54%   3125
    Fiora        49.50%   1301
    Hecarim      49.48%   1162
    LeeSin       49.48%   5709
    Zoe          49.48%  71168
    Veigar       49.34%    754
    Vayne        49.32%   2881
    MasterYi     49.32%   2774
    Swain        49.29%   1475
    Nautilus     49.21%   2857
    Samira       49.18%   1759
    Aatrox       49.16%   3277
    Pantheon     49.11%   3808
    MissFortune  49.10%   4988
    Orianna      49.05%    316
    Viktor       49.01%    604
    Neeko        48.99%    937
    Vladimir     48.97%    872
    Lux          48.96%   4185
    Ornn         48.94%   1179
    Jhin         48.93%   6711
    Shaco        48.92%   2788
    Shen         48.92%   2044
    Ryze         48.91%    411
    Darius       48.85%   3490
    Pyke         48.82%   1952
    Leona        48.78%   2175
    Lucian       48.77%   3851
    Leblanc      48.76%    607
    Caitlyn      48.76%   6483
    Gnar         48.75%   1124
    Anivia       48.75%    279
    Sylas        48.71%   1739
    Zilean       48.70%    579
    Elise        48.67%   1017
    Ashe         48.57%   3743
    Kaisa        48.54%   5462
    Rakan        48.52%   1082
    Lissandra    48.45%    258
    Evelynn      48.37%    798
    Riven        48.32%   1310
    Taliyah      48.26%    288
    Corki        48.18%    880
    Gwen         48.18%   1399
    Gragas       48.15%   1240
    Morgana      48.14%   2227
    Jayce        48.12%   1893
    Irelia       48.12%   1727
    Quinn        48.11%    769
    Ezreal       48.11%   6360
    Yasuo        48.06%   2064
    Jax          47.94%   2841
    Cassiopeia   47.89%    261
    Karma        47.87%   2039
    Varus        47.86%   2804
    Lillia       47.83%   1244
    Garen        47.77%   2694
    Fizz         47.76%    335
    Yunara       47.69%   1105
    Mel          47.63%   1728
    Karthus      47.48%    497
    Sejuani      47.42%    987
    Seraphine    47.38%   1410
    Blitzcrank   47.32%   1733
    Gangplank    47.27%   1191
    Twitch       47.22%   1548
    Zac          47.20%   1320
    Yone         47.03%   2694
    Vi           46.99%   2277
    Nidalee      46.99%   1128
    Syndra       46.89%    354
    Zed          46.25%   2251
    Ivern        45.89%    353
    RekSai       45.76%    354
    Udyr         45.69%    952
    Rumble       45.29%    563
    Akshan       45.16%    279
    Brand        45.15%   1238
    Rengar       44.96%    952
    Skarner      44.60%    509
    Katarina     44.20%    371
    KSante       44.14%   1330
    Azir         42.92%    219


# Zyra
                  win%   matches
    Warwick      55.33%   5473
    DrMundo      55.19%   4187
    Amumu        54.65%   3140
    Trundle      54.46%   3801
    Akshan       54.09%   1453
    Sett         54.04%   5792
    Kled         54.03%    905
    Elise        54.02%   1007
    Nilah        54.02%    909
    Urgot        53.92%   1979
    Malzahar     53.66%   4309
    Yorick       53.64%   4006
    Cassiopeia   53.60%   1043
    Shyvana      53.55%   1128
    Briar        53.54%   2585
    Braum        53.39%    708
    Mordekaiser  53.33%   4864
    Nocturne     53.19%   4758
    Sejuani      53.14%   1577
    Volibear     53.10%   4823
    Sona         53.09%    275
    Jhin         52.93%  15100
    Naafiri      52.84%   2742
    Veigar       52.74%   3610
    Diana        52.74%   4941
    MissFortune  52.70%  10485
    KogMaw       52.70%   1093
